runId,workflow,startedAt,endedAt,status,costUsd
2bfdf508-1c45-4e3e-b6fc-1c73d3b98d3a,weekly-digest,2026-06-02T22:04:14.022Z,2026-06-02T22:04:46.774Z,completed,0.025430
d60221de-0088-4d76-bbf2-a1f3a0d68e89,weekly-digest,2026-06-02T22:11:08.344Z,2026-06-02T22:11:20.748Z,completed,0.025760
8ebee244-2373-4bd3-93a8-219c4b799a08,weekly-digest,2026-06-02T22:27:33.836Z,2026-06-02T22:28:46.595Z,completed,0.005272
a608c639-1976-42e8-b4d0-8c837b6a35d1,weekly-digest,2026-06-02T22:40:43.738Z,2026-06-02T22:41:43.547Z,completed,0.006752
a0e8781c-e1d3-4c28-81f7-6799191a9ece,weekly-digest,2026-06-02T22:54:32.447Z,2026-06-02T22:55:33.254Z,completed,0.007366
bf8665ee-2e5e-43fd-afd0-d2bcf395fb88,weekly-digest,2026-06-02T22:56:11.840Z,2026-06-02T22:57:33.293Z,completed,0.008345
0db0d343-1b46-49fc-b39e-6fd7634831b4,curation,2026-06-02T22:59:24.134Z,2026-06-02T22:59:42.903Z,completed,0.003000
2da28dba-6f13-4ea9-bbc0-06584bc43540,briefing-prep,2026-06-02T23:02:44.666Z,2026-06-02T23:03:03.443Z,completed,0.001860
538f1e67-c3c8-4c21-972f-eee113f330af,meeting-followup,2026-06-02T23:06:30.761Z,2026-06-02T23:06:59.452Z,completed,0.010000
